Be the Boss Everyone Wants to Work For,Berrett-Koehler,9781626566217,,Humble Leadership by Berrett-Koehler
BeagleBone For Dummies,Wiley,978-1-118-82291-3,,Humble Tech Book Bundle: Get More Pi!
Beat the Odds,Weldon Owen,9781616286521,,Ultimate Survival Guides
Becoming a Better Programmer,O'Reilly,9781491905531,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
Becoming a Dog Chef: Stories and Recipes to Spoil Your Pup from America's Top Dog Chef,Mango Media,9781642505474,,"Humble Book Bundle: Eat, Drink & Be Merry"
Becoming Agile...in an imperfect world,Manning Publications,,,Code Like a Pro by Manning Publications
Beer School: A Crash Course in Craft Beer,Mango Media,9781633533684,,"Humble Book Bundle: Eat, Drink & Be Merry"
Befriend Your Brain,Microcosm,N/A (eBook Download),,Humble Book Bundle: Unf*ck the Holidays by Microcosm
Beginner's Guide to Brazilian Portuguese,International Markets Consulting,,,Learn a New Language and Travel the World Bundle
Beginner’s Guide to French,International Markets Consulting,,,Learn a New Language and Travel the World Bundle
Beginner’s Guide to German,International Markets Consulting,,,Learn a New Language and Travel the World Bundle
Beginner's Guide to Italian,Richdale Ventures,,,Learn a New Language and Travel the World Bundle
Beginner’s Guide to Mandarin Chinese,International Markets Consulting,,,Learn a New Language and Travel the World Bundle
Beginner’s Guide to Spanish,International Markets Consulting,,,Learn a New Language and Travel the World Bundle
Beginning Android Programming with Android Studio,Wiley,978-1119265108,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning ASP.NET 4.5.1: in C# and VB,Wiley,978-1118846773,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning ASP.NET for Visual Studio 2015,Wiley,978-1119077428,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning C# 7 Programming with Visual Studio 2017,Wiley,978-1119405207,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning Database Design Solutions,Wiley,978-0470385494,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning Flutter: A Hands On Guide to App Development,Wiley,978-1119550822,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
BEGINNING GIT AND GITHUB,Apress / Springer,978-1-4842-9189-4,,Humble Tech Book Bundle: Full Stack Development with Apress
Beginning gRPC with ASP.NET Core 6,Springer / Apress,9781484277478,,Mastering Microsoft Development
Beginning Java Programming: The Object-Oriented Approach,Wiley,978-1118739495,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning JavaScript,Wiley,978-1119038443,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning Linux Programming,Wiley,978-0470147627,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning Perl,Wiley,978-1118013847,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning Python: Using Python 2.6 and Python 3.1,Wiley,978-0470414637,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning React and Firebase,Springer / Apress,978-1484271391,,Full Stack Web Development by Springer/Apress
Beginning Software Engineering,Wiley,978-1119901709,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning Spring,Wiley,978-1118743126,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Beginning XML,Wiley,978-1118162132,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Behavioral Cybersecurity: Fundamental Principles and Applications of Personality Psychology,Taylor & Francis Group,9781138617780,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
Behavioral Insights,MIT Press,9780262535120,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Beijing Red,Crooked Lane Books,9781629535944,,Humble Book Bundle: Murder by the Book from Crooked Lane
Being Buddha at Work,Berrett-Koehler,9781605092881,,Humble Leadership by Berrett-Koehler
Being Japanese American,Stone Bridge Press,9781611725124,,Humble Book Bundle: Japanese Art and Culture
Best Kept Secrets: A Novel,Crooked Lane Books,9781643852270,,Humble Book Bundle: Murder by the Book from Crooked Lane
"Best Meditations on the Planet: 100 Techniques to Beat Stress, Improve Health, and Create Happiness",The Quarto Group,9781592337149,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Best of American Barbecue Smoker Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
Best of Make: Volume 2: 65 Projects and Skill Builders from the Pages of Make:,O'Reilly,9781680450323,,Tech & Electronics
Best of Mexican Cooking,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
Best of Terry Kimbrough Baby Afghans,Leisure Arts,9781563830822,,Humble Craft Bundle: Cozy Afghans and More
BEST OF THE TOTAL OUTDOORSMAN,Weldon Owen,9781616289454,,Ultimate Survival Guides
Better Daily Sleep Habits,Callisto Publishing,9781648769771,,Humble Book Bundle: Health & Wellness
Better Each Day,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Better from Scratch/Make Your Own Pantry Essentials,Insight Editions,N/A,,The Chef's Kitchen
Better Grammar,Career Press,9781632650535,,Humble Book Bundle: Career Building by Career Press
Better Sentence Writing,Career Press,9781632650641,,Humble Book Bundle: Career Building by Career Press
"Beyond Curie: Four Women in Physics and their Remarkable Discoveries, 1903-1963",Morgan & Claypool Publishers,9781681746449,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code,No Starch Press,9781718500464,,Humble Book Bundle: Learn You More Python
Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code.,No Starch Press,9781593279660,,Humble Tech Book Bundle: Python by No Starch Press
Bible Adventures,Boss Fight Books,978-1-940535-07-4,,Humble Book Bundle: Video Game Histories
Bicycles & Broomsticks: Fantastical Feminist Stories about Witches on Bikes,Microcosm,9781648410529,,Humble Book Bundle: Go Unf*ck Yourself by Microcosm
Big Book of Quick Knit Afghans,Leisure Arts,9781574864946,,Humble Craft Bundle: Cozy Afghans and More
Big Data Analytics and Computing for Digital Forensic Investigations,Taylor & Francis Group,9780367456788,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
Big Data at Work: The Data Science Revolution and Organizational Psychology,Taylor & Francis Group,Not listed on page,,Data Visualization by Taylor & Francis
Big Data in Complex and Social Networks,Taylor & Francis,9781498768542,,Data Science Essentials
Big Data Management and Processing,Taylor & Francis,9781498740531,,Data Science Essentials
Big Data Management in Sensing: Applications in AI and IoT,River Publishers,N/A,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
Big Data Using Hadoop and Hive,"Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
"Big Data: Concepts, Warehousing, and Analytics",River Publishers,N/A,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
Bike Repair and Maintenance For Dummies,Wiley,9780470415801,,Humble Book Bundle: DIY Home & Hobby by Wiley
Billion Dollar Hollywood Heist,Skyhorse Publishing,9781510755079,,True Crime Essentials
Biologically Inspired Design: A Primer,Morgan & Claypool Publishers,,,Humble Book Bundle: Cutting Edge Tech by Morgan Claypool
Biophysics of the Senses,Morgan & Claypool Publishers,9780750328470,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Biscuit Head,The Quarto Group,9781631062636,,Humble Book Bundle: Cookbooks by Quarto
Black Dahlia Avenger,Skyhorse Publishing,9781616083441,,True Crime Essentials
Black Girls Sew,Abrams Books,9781419754593,,"Crafting, Knitting, & More"
"Black, Brown + Latinx Design Educators",Princeton Architectural Press,9781797223520,,Graphic Design 101
"Blender 3D By Example, Second Edition",Packt,,,Learn to Program by Developing Games with Unity
Blockchain Platforms: A Look at the Underbelly of Distributed Platforms,Morgan & Claypool Publishers,,,Humble Book Bundle: Cutting Edge Tech by Morgan Claypool
"Blockchain Security from the Bottom Up: Securing and Preventing Attacks on Cryptocurrencies, Decentralized Applications, NFTs, and Smart Contracts",Wiley,9781119896296,,Humble Tech Book Bundle: Cybersecurity 2023 by Wiley
"Blockchain, Bitcoin, and the Digital Economy","Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
"Blocks and Chains: Introduction to Bitcoin, Cryptocurrencies, and Their Consensus Mechanisms",Morgan & Claypool Publishers,,,Humble Book Bundle: Cutting Edge Tech by Morgan Claypool
Blood on the Mink,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Blood Sugar,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Body Language of Liars,Career Press,978-1601632784,,Choose Your Own Career Path
Body Language Sales Secrets,Career Press,9781632651181,,Humble Book Bundle: Career Building by Career Press
Bone Broth Miracle,Skyhorse Publishing,978-1634505116,,Eat Like a Geek
Book of Building Fires,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Book of Making – Volume 2,Raspberry Pi Press,N/A (Magazine Special),,Humble Book Bundle: Raspberry Pi Uncut
Bookbinding,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Booze Cakes,Penguin Random House US,9781594744235,,Cooking Forking Good Food
Born to Be Weird: Demented Fantasy and Bizarro Horror,Microcosm,9781648410888,,Humble Book Bundle: Go Unf*ck Yourself by Microcosm
Bow Down,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Bowl,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Boy's Life,Open Road Media,9781480439443,,Humble Book Bundle: Dread & Darkness
Brain Hacks,Simon & Schuster / Adams Media,9781507205723,,Life Hacks by Adams Media
"Bread Baking Basics: Recipes for Mastering Bread, Dough and Flour",Mango Media,9781642503937,,"Humble Book Bundle: Eat, Drink & Be Merry"
Bread Lover's Bread Machine Cookbook,The Quarto Group,9781558321564,,Humble Book Bundle: Cookbooks by Quarto
Breakfast for Dinner,Penguin Random House US,9781594746130,,Cooking Forking Good Food
Breakneck,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Breakout,Boss Fight Books,978-1-940535-23-4,,Humble Book Bundle: Video Game Histories
Breathwork,Callisto Publishing,9781641526418,,Humble Book Bundle: Health & Wellness
Bridge For Dummies,Wiley,9781119251842,,Games & Puzzles by Wiley
"Broke, Not Broken",Microcosm,N/A (eBook Download),,Humble Book Bundle: Unf*ck the Holidays by Microcosm
Brooklyn Makers,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Buddhism 101,Simon & Schuster (Adams Media),9781507204290,,Humble Book Bundle: Knowledge 101!
Budgeting 101,Simon & Schuster (Adams Media),9781507213827,,Humble Book Bundle: Knowledge 101!
Build a Binary Clock with Elixir and Nerves,Pragmatic Bookshelf,9781680509236,,Humble Tech Book Bundle: Elixir Programming
Build a Rock Paper Scissors Game from Scratch with React,SitePoint,Digital-Only Release,,Humble Tech Book Bundle: Front End Web Dev by SitePoint
Build a Weather App from Scratch with Next.js,SitePoint,Digital-Only Release,,Humble Tech Book Bundle: Front End Web Dev by SitePoint
Build a Weather Station with Elixir and Nerves,Pragmatic Bookshelf,9781680509021,,Humble Tech Book Bundle: Elixir Programming
Build an App with TypeScript and the Pexels API,SitePoint,Digital-Only Release,,Humble Tech Book Bundle: Front End Web Dev by SitePoint
Build it Yourself,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Build This Bong,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Build Your Own First-Person Shooter in Unity,Raspberry Pi Press,N/A (Official Guide),,Humble Book Bundle: Raspberry Pi Uncut
Build Your Own Programming Language,Packt,9781800204805,,Humble Tech Book Bundle: Programming Mega Bundle
Building an Event-Driven Data Mesh,O'Reilly,9781098148492,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Building Better Organizations,Berrett-Koehler,9781609941192,,Humble Leadership by Berrett-Koehler
Building Event-Driven Microservices,O'Reilly,9781492057802,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
"Building Evolutionary Architectures, 2nd Edition",O'Reilly,9781492097549,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Building Games with Flutter,Packt Publishing,9781801816984,,"iOS, Android, and Flutter: Mobile Development"
Building LLM Powered Applications,Packt Publishing,9781835462317,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
Building Machine Learning Powered Applications,O'Reilly Media,9781492045113,,Humble Book Bundle: Data & AI by O'Reilly
Building Machine Learning Systems using Python,BPB Publications,9789389845341,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
"Building Microservices, 2nd Edition",O'Reilly,9781492044031,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Building Multi-Tenant SaaS Architectures,O'Reilly,9781098144210,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Building Offline Applications with Angular,Springer / Apress,978-1484273005,,Full Stack Web Development by Springer/Apress
Building Single Page Applications in .NET Core,Springer / Apress,9781484257494,,Mastering Microsoft Development
Building Table Views with Phoenix LiveView,Pragmatic Programmers,9781680509496,,Databases and Data Management by Pragmatic
"Building The Perfect PC, 3rd Edition",O'Reilly,9781449307240,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Building the Web of Things,Manning Publications,9781617293115,,Web & iPhone Mobile Apps
Building Web Apps with Spring 5 and Angular,Packt,9781787286313,,Humble Book Bundle: Java by Packt
Building Web Apps with WordPress (2nd Edition),O'Reilly Media,9781491990087,,Humble Book Bundle: Gifts for the Technically Inclined
Buns and Burgers: Handcrafted Burgers from Top to Bottom,Mango Media,9781642501971,,"Humble Book Bundle: Eat, Drink & Be Merry"
Business Etiquette,Career Press,9781632651105,,Humble Book Bundle: Career Building by Career Press
Business Intelligence & Data Warehousing Simplified,"Walter De Gruyter, Inc. / Mercury",9781683926719,,Data Science & Data Analytics
Business of Creativity,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Bust,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Buxton Hall Barbecue's Book of Smoke,The Quarto Group,9780760349700,,Humble Book Bundle: Cookbooks by Quarto
C Programming and Numerical Analysis,Morgan & Claypool Publishers,978-1627054232,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
C# 10 and .NET 6 - Modern Cross-Platform Development - 6th Edition,Packt,9781801815840,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
